channel_name,title,duration_seconds,view_count,like_count,comment_count,engagement_rate,video_length_category,title_category
The Moon Show,I SOLD MY CARS FOR CRYPTO!,26,1756,51,2,0.03018223234624146,short,defi-general-crypto
The Moon Show,THIS IS MY ETHEREUM TARGET !!!!,75,10274,176,1,0.017227954058789175,short,news-reaction
The Moon Show,I AM NOT BEARISH !!!!,36,876,34,1,0.03995433789954338,short,undefined
The Moon Show,VERY BAD NEWS FOR BITCOIN !!!!,82,5991,112,2,0.01902854281422133,short,coins
The Moon Show,Big Drop or More Pump on Bitcoin ???🚨,3066,5759,97,3,0.017364125716270187,long,coins
The Moon Show,BITCOIN DROP INCOMING - BUY THE DIP,600,22504,857,75,0.04141485958051902,medium,coins
The Moon Show,THIS COULD BE THE NEXT BIG TRADE !!!!,33,1304,37,1,0.029141104294478526,short,undefined
MoneyZG,Crypto Alert: Absolute Shambles,544,1633,181,16,0.12063686466625842,short,news-reaction
MoneyZG,Bybit Limit Order Tutorial (How to Use Limit Orders),322,2368,15,23,0.016047297297297296,short,educational
MoneyZG,Crypto Alert: Don't Wait!!,621,13695,473,42,0.03760496531580869,medium,news-reaction
MoneyZG,How to Find Crypto.com Onchain Wallet Private Key (Seed Phrase),55,2030,14,4,0.008866995073891626,short,defi-general-crypto
MoneyZG,Crypto Alert: Bitcoin Moved Too Fast!!,463,17207,517,34,0.03202185157203464,short,news-reaction
MoneyZG,Kraken Pro Limit Order Tutorial (How to Use Limits Orders),239,2378,20,1,0.008830950378469302,short,educational
MoneyZG,Crypto Alert: Don't Miss This!!!,514,14643,393,26,0.028614354981902616,short,news-reaction
MoneyZG,How to Withdraw Money from Hyperliquid (Cash out),501,2110,41,1,0.01990521327014218,short,educational
MoneyZG,Crypto Alert: A LOT More Coming!!,508,7927,487,27,0.06484168033303898,short,news-reaction
MoneyZG,Crypto Alert: Time to Panic!!,634,10730,604,31,0.05917986952469711,medium,news-reaction
MoneyZG,Best World Index Fund ETFs To Invest In Forever,1036,3958,164,14,0.0449722081859525,medium,undefined
MoneyZG,Crypto Alert: Everything is Blowing OUT!,855,9444,516,25,0.0572850487081745,medium,news-reaction
MoneyZG,How to Deposit Money to Binance (Bank Transfer),196,979,18,4,0.02247191011235955,short,educational
MoneyZG,Crypto Alert: Seriously Uncomfortable,641,7060,390,15,0.05736543909348442,medium,news-reaction
MoneyZG,Bybit Demo Trading Tutorial for Beginners (Demo Account Paper Trading),1358,797,29,1,0.037641154328732745,long,undefined
MoneyZG,Crypto Alert: You NEED to Know This!,443,6765,392,20,0.06090169992609017,short,news-reaction
MoneyZG,Robinhood Wallet: How to Withdraw & Cash Out,358,1320,24,5,0.02196969696969697,short,educational
MoneyZG,Crypto Alert: Oh No!!,691,6927,377,22,0.057600692940666956,medium,news-reaction
MoneyZG,TradingView Fixed Range Volume Profile Tutorial (EASY),307,5391,88,22,0.020404377666481174,short,undefined
MoneyZG,Crypto Alert: Now or Never!?,704,8179,432,32,0.05673065166890818,medium,news-reaction
MoneyZG,Best iShares Index Funds 2026? (BlackRock ETFs Tutorial),2004,1386,42,24,0.047619047619047616,long,undefined
MoneyZG,Crypto Alert: Time To Get SERIOUS!!,835,8693,605,64,0.07695847233406189,medium,news-reaction
MoneyZG,How to Swap Crypto in Robinhood Wallet,311,1067,21,98,0.11152764761012184,short,defi-general-crypto
MoneyZG,Crypto Alert: WTF is Happening?,610,8843,436,148,0.06604093633382337,medium,news-reaction
